backbone,backbone_key,embedding_dim,protocol,fold,component_id,test_years,train_n,test_n,RMSE,MAE,R2,NRMSE,sMAPE
DINOv3 ViT-S/16,dinov3_vits16,384,Full CMGT,1,C0001,2023,168,39,147.89670172705328,118.21186679833022,-0.11179914463319451,0.21409482010285652,11.368786124283757
DINOv3 ViT-S/16,dinov3_vits16,384,Static Image ExtraTrees,2,C0002,2024,195,12,435.6949999584614,325.28426462963165,-0.8616286832972224,0.47747397255721796,54.701837925688885
DINOv3 ViT-S/16,dinov3_vits16,384,Image Trajectory ExtraTrees,2,C0002,2024,195,12,373.96709649543016,262.28109472222263,-0.3714964718642033,0.4098269550634851,49.08820073370436
DINOv3 ViT-S/16,dinov3_vits16,384,Full CMGT,2,C0002,2024,195,12,338.6939563386597,305.53298780134406,-0.12497482579693786,0.3711714590012709,59.71734843609844
DINOv3 ViT-S/16,dinov3_vits16,384,Static Image ExtraTrees,3,C0003,2024,195,12,384.6622737451436,320.91391453296956,-2.289624002566475,0.46265698894078033,50.94529235365261
DINOv3 ViT-S/16,dinov3_vits16,384,Image Trajectory ExtraTrees,3,C0003,2024,195,12,341.47526940891936,267.6304080555577,-1.5924213275241055,0.4107133210758935,45.51583064185096
DINOv3 ViT-S/16,dinov3_vits16,384,Full CMGT,3,C0003,2024,195,12,210.7117863029701,140.2765093564644,0.012891865849940398,0.253436032694631,31.526985438216798
DINOv3 ViT-S/16,dinov3_vits16,384,Static Image ExtraTrees,4,C0004,2024,195,12,464.24083369338786,404.10981611111555,-3.1275561308218016,0.6461430153844058,68.66926656095382
DINOv3 ViT-S/16,dinov3_vits16,384,Image Trajectory ExtraTrees,4,C0004,2024,195,12,441.6829315973937,377.9801633333364,-2.736177893270465,0.6147463138812405,66.15826218468794
DINOv3 ViT-S/16,dinov3_vits16,384,Full CMGT,4,C0004,2024,195,12,274.6754861284171,220.79526696888175,-0.4449276995127742,0.3823008102221594,49.40788080573711
DINOv3 ViT-S/16,dinov3_vits16,384,Static Image ExtraTrees,5,C0005,2024,195,12,220.92698292390645,192.25036503103502,-2.8037691864147556,0.5630864863614284,24.905720205174102
DINOv3 ViT-S/16,dinov3_vits16,384,Image Trajectory ExtraTrees,5,C0005,2024,195,12,121.740908217247,100.35236598290676,-0.15502053974433028,0.3102864998528023,14.093071765467977
DINOv3 ViT-S/16,dinov3_vits16,384,Full CMGT,5,C0005,2024,195,12,206.73046092639632,172.09021139082685,-2.3306237799086467,0.526903175548353,26.14099299091946
DINOv3 ViT-S/16,dinov3_vits16,384,Static Image ExtraTrees,6,C0006,2024,195,12,517.8068405714305,441.9933077777816,-2.684749932944958,0.707937657153016,97.05114825455475
DINOv3 ViT-S/16,dinov3_vits16,384,Image Trajectory ExtraTrees,6,C0006,2024,195,12,573.8200178908735,506.4618178205147,-3.5250547898811533,0.7845180234484141,102.03133644489988
DINOv3 ViT-S/16,dinov3_vits16,384,Full CMGT,6,C0006,2024,195,12,444.9690047663641,361.2806788093649,-1.7210215005049267,0.6083548730109021,90.59434299290926
DINOv3 ViT-S/16,dinov3_vits16,384,Static Image ExtraTrees,7,C0007,2024,195,12,342.1572423039498,290.7915939814823,-0.34200549000913893,0.32837217826057097,55.91651964869786
